1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n
52459956	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	43_John_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52463050	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	43_John_20	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52474262	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52478512	ⲏⲓ	dislocated	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52479928	ⲏⲓ	conj	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52488436	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_04	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52494522	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52498260	ⲏⲓ	conj	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52499344	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52502625	ⲏⲓ	appos	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52503320	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52503491	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52505390	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52511549	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	44_Acts_of_the_Apostles_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
