Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ⲣⲡⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲥⲁⲣⲝ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲥⲉⲉⲡⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲥⲟⲟⲩϩⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲥⲱ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲥⲱⲧⲡ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲧⲁⲩⲟ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲧⲉⲣⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲧⲣⲉ_ⲁⲛⲟⲕ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲧⲱⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲧⲱⲱϭⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲭⲣⲉⲓⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲭⲣⲏⲙⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲱϣ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲱⲕ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲱⲛϩ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲱⲡ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
n	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣϣⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲁϩⲣⲁⲓ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲁⲃⲟⲗ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲏ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲓⲃⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲧⲁⲙ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲧⲏⲛ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲱϥ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϣⲱⲱⲧ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
ϩⲁⲉ	1	2	9.2833274E-5	NaN	NaN	1.8566655E-4
